day,E11.1,G8.3,G15.Markaz,F8.Markaz,I10.2,G8.4,F6.2,GhauriTown,G7.Markaz,F8,G14.3,G6.4,G7.4,GhauriTown.VIPBlock,G8.2,G6.Markaz,E11.4,G9.3,I10.4,E8.2,G11.1,F6,G5.1,GhauriTown.Phase4A,G14.4,E11.2,D12.1,G7.3,G15.1,G11.2,F11.4,I8.4,GhauriTown.Phase4B,GhauriTown.Phase3,F8.2,I10.3,G9,F8.1,G16.2,F7.4,G16.Markaz,G10.1,G16.4,G15,F5,GhauriTown.Phase7,G11.Markaz,I9.2,I8.2,G14.2,F7.Markaz,E11,I9.3,G8.Markaz,D12.Markaz,F6.3,H8.1,F6.1,F10.1,G9.4,I10.1,I9.1,G8,G15.3,H12,G10.Markaz,F10,G7.1,G11.3,G6.1,G5,H9.1,F10.3,D17,F11.3,G16.1,G11.4,F10.2,H13,D12.3,G7,G12,G8.1,H8.4,D12,E7,GhauriTown.Phase5,G9.1,G10.4,G16,H8.3,G6.3,G10,F8.4,G7.2,G10.3,G13.3,GhauriTown.Phase5B,I8.1,H11.1,D12.2,G9.Markaz,H11,G9.2,I8.3,GhauriTown.Phase2,F7.1,E8.1,G6.2,G5.2,H8.2,G11,F10.4,I9.4,G14,F7.2,G10.2,GhauriTown.Phase1,F11.2,G13,G6,F6.4,F10.Markaz,H11.4,F7.3,F7,Shah Allah Ditta,G13.Markaz,F5.2,G13.2,Nurpur Shahan,G15.2,E11.3,G13.4,G16.3,H9.4,F6.Markaz,F11.Markaz,F11,G15.4,F5.1,H10,E9,D12.4,F11.1,G14.1,GhauriTown.Phase2.Extension,F9,E8,F8.3,G13.1,unknown
13,0,0,0,0,85,0,0,102,0,0,0,0,0,83,0,0,0,0,100,0,0,128,0,0,0,0,0,0,0,0,0,56,0,19,85,0,118,158,0,0,0,0,0,38,0,0,0,0,156,0,0,56,0,0,0,199,0,161,0,144,105,120,432,38,1,0,106,0,0,0,0,0,97,0,0,0,2,119,11,0,534,0,120,0,153,106,17,139,0,65,0,0,221,90,232,44,0,0,116,0,168,0,16,143,160,19,0,0,0,0,0,788,119,172,1117,0,289,27,1,648,658,81,0,0,0,597,114,207,0,1206,186,41,0,549,0,0,0,0,316,38,0,0,0,110,290,42,0,0,0,122,770,43225
14,0,0,0,0,99,0,0,115,0,0,0,0,0,92,0,0,0,0,128,0,0,155,0,0,0,0,0,0,0,0,0,59,0,19,100,0,143,187,0,0,0,0,0,46,0,0,0,0,191,0,0,68,0,0,0,228,0,190,0,169,143,144,511,38,2,0,127,0,0,0,0,0,112,0,0,0,2,144,13,0,643,0,137,0,182,124,21,159,0,84,0,0,256,103,270,52,0,0,134,0,189,0,18,172,197,29,0,0,0,0,0,898,132,203,1309,0,345,29,1,760,757,92,0,0,0,687,141,239,0,1427,222,44,0,632,0,0,0,0,376,47,0,0,0,124,335,50,1,0,0,139,915,49384
15,0,0,0,0,125,0,0,145,0,0,0,0,0,111,0,0,0,0,147,0,0,183,0,0,0,0,0,0,0,0,0,70,0,19,118,0,170,217,0,0,0,0,0,54,0,0,0,0,232,0,0,74,0,0,0,282,0,215,0,182,170,180,613,41,2,0,150,0,0,0,0,0,126,0,0,0,2,166,16,0,744,0,167,0,210,150,27,185,0,95,0,0,313,127,333,68,0,0,168,0,225,0,19,216,229,40,0,0,0,0,0,1025,162,246,1550,0,417,33,2,890,878,120,0,0,0,800,164,274,0,1659,277,49,0,746,0,0,0,0,438,58,0,0,0,140,389,59,1,0,0,172,1042,54758
16,0,0,0,0,160,0,0,174,0,0,0,0,0,133,0,0,0,0,163,0,0,214,0,0,0,0,0,0,0,0,0,80,0,23,139,0,200,272,0,0,0,0,0,67,0,0,0,0,281,0,0,88,0,0,0,320,0,260,0,220,200,202,709,43,3,0,166,0,0,0,0,0,150,0,0,0,2,196,19,0,887,0,200,0,229,190,34,232,0,117,0,0,363,142,394,75,0,0,208,0,262,0,30,246,265,46,0,0,0,0,0,1243,194,291,1794,0,493,33,2,1028,1059,144,0,0,0,928,197,312,0,1890,329,54,0,851,0,0,0,0,479,67,0,0,0,162,474,66,1,0,0,217,1203,60206
17,0,0,0,0,198,0,0,214,0,0,0,0,0,150,0,0,0,0,200,0,0,252,0,0,0,0,0,0,0,0,0,98,0,23,173,0,241,337,0,0,0,0,0,79,0,0,0,0,322,0,0,108,0,0,0,382,0,302,0,261,243,252,825,49,6,0,193,0,0,0,0,0,175,0,0,0,2,234,21,0,1017,0,232,0,271,203,36,288,0,142,0,0,421,171,441,95,0,0,230,0,286,0,34,280,306,58,0,0,0,0,0,1475,225,336,2069,0,574,37,2,1185,1232,163,0,0,0,1065,234,348,0,2128,389,64,0,975,0,0,0,0,547,76,0,0,0,191,550,77,1,0,0,263,1415,65505
18,0,0,0,0,227,0,0,254,0,0,0,0,0,165,0,0,0,0,236,0,0,296,0,0,0,0,0,0,0,0,0,119,0,23,213,0,271,370,0,0,0,0,0,91,0,0,0,0,374,0,0,126,0,0,0,445,0,339,0,307,281,299,963,55,9,0,229,0,0,0,0,0,199,0,0,0,1,274,24,0,1206,0,267,0,305,225,38,335,0,171,0,0,467,194,506,117,0,0,266,0,324,0,43,313,377,71,0,0,0,0,0,1733,265,390,2381,0,639,48,3,1371,1431,175,0,0,0,1235,278,379,0,2406,456,70,0,1061,0,0,0,0,629,86,0,0,0,220,636,93,1,0,0,318,1608,70567
19,0,0,0,0,265,0,0,310,0,0,0,0,0,198,0,0,0,0,267,0,0,354,0,0,0,0,0,0,0,0,0,150,0,25,238,0,324,424,0,0,0,0,0,109,0,0,0,0,425,0,0,156,0,0,0,517,0,402,0,346,334,363,1103,62,13,0,281,0,0,0,0,0,230,0,0,0,1,323,30,0,1394,0,299,0,360,256,45,383,0,203,0,0,536,220,582,150,0,0,318,0,371,0,53,355,433,78,0,0,0,0,0,1987,307,449,2649,0,748,56,2,1530,1621,208,0,0,0,1433,303,423,0,2646,528,78,0,1196,0,0,0,0,693,102,0,0,0,258,717,108,2,0,0,370,1826,74885
20,0,0,0,0,310,0,0,353,0,0,0,0,0,230,0,0,0,0,306,0,0,401,0,0,0,0,0,0,0,0,0,177,0,31,270,0,364,481,0,0,0,0,0,135,0,0,0,0,497,0,0,187,0,0,0,595,0,459,0,382,388,410,1227,74,13,0,313,0,0,0,0,0,262,0,0,0,1,382,35,0,1562,0,347,0,414,301,53,465,0,232,0,0,606,253,654,194,0,0,336,0,431,0,59,408,499,86,0,0,0,0,0,2227,344,514,2890,0,839,68,2,1701,1835,235,0,0,0,1674,329,458,0,2839,588,91,0,1320,0,0,0,0,772,115,0,0,0,308,808,126,2,0,0,436,1989,78796
21,0,0,0,0,350,0,0,414,0,0,0,0,0,253,0,0,0,0,354,0,0,452,0,0,0,0,0,0,0,0,0,221,0,40,308,0,415,546,0,0,0,0,0,156,0,0,0,0,562,0,0,207,0,0,0,663,0,527,0,438,431,475,1393,85,15,0,342,0,0,0,0,0,328,0,0,0,0,444,37,0,1747,0,381,0,468,334,56,542,0,267,0,0,685,292,722,226,0,0,383,0,478,0,67,464,567,96,0,0,0,0,0,2517,387,577,3175,0,948,85,2,1837,2064,260,0,0,0,1904,381,485,0,3063,667,113,0,1444,0,0,0,0,874,121,0,0,0,345,945,154,3,0,0,496,2175,82091
22,0,0,0,0,388,0,0,456,0,0,0,0,0,281,0,0,0,0,423,0,0,511,0,0,0,0,0,0,0,0,0,254,0,45,336,0,478,627,0,0,0,0,0,178,0,0,0,0,645,0,0,241,0,0,0,714,0,583,0,515,494,544,1561,100,18,0,397,0,0,0,0,0,386,0,0,0,0,510,46,0,1978,0,427,0,516,368,63,605,0,301,0,0,759,336,823,276,0,0,419,0,557,0,74,526,645,111,0,0,0,0,0,2837,428,636,3386,0,1088,98,3,1993,2274,287,0,0,0,2157,432,514,0,3257,762,126,0,1562,0,0,0,0,994,129,0,0,0,402,1056,163,3,0,0,531,2314,84833
