day,E11.1,G8.3,G15.Markaz,F8.Markaz,I10.2,G8.4,F6.2,GhauriTown,G7.Markaz,F8,G14.3,G6.4,G7.4,GhauriTown.VIPBlock,G8.2,G6.Markaz,E11.4,G9.3,I10.4,E8.2,G11.1,F6,G5.1,GhauriTown.Phase4A,G14.4,E11.2,D12.1,G7.3,G15.1,G11.2,F11.4,I8.4,GhauriTown.Phase4B,GhauriTown.Phase3,F8.2,I10.3,G9,F8.1,G16.2,F7.4,G16.Markaz,G10.1,G16.4,G15,F5,GhauriTown.Phase7,G11.Markaz,I9.2,I8.2,G14.2,F7.Markaz,E11,I9.3,G8.Markaz,D12.Markaz,F6.3,H8.1,F6.1,F10.1,G9.4,I10.1,I9.1,G8,G15.3,H12,G10.Markaz,F10,G7.1,G11.3,G6.1,G5,H9.1,F10.3,D17,F11.3,G16.1,G11.4,F10.2,H13,D12.3,G7,G12,G8.1,H8.4,D12,E7,GhauriTown.Phase5,G9.1,G10.4,G16,H8.3,G6.3,G10,F8.4,G7.2,G10.3,G13.3,GhauriTown.Phase5B,I8.1,H11.1,D12.2,G9.Markaz,H11,G9.2,I8.3,GhauriTown.Phase2,F7.1,E8.1,G6.2,G5.2,H8.2,G11,F10.4,I9.4,G14,F7.2,G10.2,GhauriTown.Phase1,F11.2,G13,G6,F6.4,F10.Markaz,H11.4,F7.3,F7,Shah Allah Ditta,G13.Markaz,F5.2,G13.2,Nurpur Shahan,G15.2,E11.3,G13.4,G16.3,H9.4,F6.Markaz,F11.Markaz,F11,G15.4,F5.1,H10,E9,D12.4,F11.1,G14.1,GhauriTown.Phase2.Extension,F9,E8,F8.3,G13.1,unknown
33,0,0,0,0,897,0,0,994,0,1,0,0,0,458,0,0,0,0,1102,0,0,1258,0,0,0,0,0,0,0,0,0,648,0,194,746,0,1248,1447,0,0,0,0,0,428,0,0,0,0,1463,0,0,578,0,0,0,1620,0,1339,0,1231,1217,1467,3687,241,59,0,1024,0,0,0,0,0,1092,0,0,0,1,1315,124,0,4232,0,1088,0,1313,844,150,1251,0,846,0,0,1783,664,1864,722,0,0,1039,0,1259,0,170,1220,1540,150,0,0,0,0,0,6550,1093,1339,3483,0,2600,209,10,2262,5176,716,0,0,0,5282,920,458,0,2926,1740,368,0,1886,0,0,0,0,2456,246,0,1,0,937,2425,451,0,0,0,1253,2156,84085
34,0,0,0,0,889,0,0,1038,0,1,0,0,0,477,0,0,0,0,1124,0,0,1321,0,0,0,0,0,0,0,0,0,662,0,199,787,0,1302,1491,0,0,0,0,0,442,0,0,0,0,1524,0,0,596,0,0,0,1696,0,1429,0,1281,1304,1548,3899,258,56,0,1065,0,0,0,0,0,1170,0,0,0,1,1373,118,0,4380,0,1153,0,1367,872,158,1277,0,891,0,0,1867,701,1959,730,0,0,1099,0,1301,0,179,1287,1605,158,0,0,0,0,0,6847,1150,1377,3350,0,2728,212,10,2166,5350,751,0,0,0,5533,948,426,0,2733,1846,391,0,1847,0,0,0,0,2574,267,0,2,0,1026,2520,473,0,0,0,1321,1992,82649
35,0,0,0,0,913,0,0,1073,0,1,0,0,0,509,0,0,0,0,1174,0,0,1382,0,0,0,0,0,0,0,0,0,682,0,206,802,0,1333,1528,0,0,0,0,0,446,0,0,0,0,1577,0,0,617,0,0,0,1781,0,1499,0,1340,1368,1605,4006,278,53,0,1123,0,0,0,0,0,1190,0,0,0,1,1402,134,0,4595,0,1192,0,1427,900,165,1313,0,924,0,0,1906,742,2022,749,0,0,1150,0,1370,0,194,1351,1645,165,0,0,0,0,0,7098,1212,1436,3266,0,2802,214,6,2106,5501,777,0,0,0,5749,976,391,0,2515,1909,410,0,1761,0,0,0,0,2669,265,0,2,0,1076,2644,496,0,0,0,1402,1869,81279
36,0,0,0,0,949,0,0,1108,0,2,0,0,0,535,0,0,0,0,1230,0,0,1443,0,0,0,0,0,0,0,0,0,693,0,227,838,0,1359,1585,0,0,0,0,0,458,0,0,0,0,1654,0,0,649,0,0,0,1840,0,1563,0,1389,1433,1665,4158,286,61,0,1168,0,0,0,0,0,1221,0,0,0,1,1491,134,0,4759,0,1218,0,1461,934,169,1370,0,941,0,0,1968,747,2085,763,0,0,1215,0,1407,0,196,1381,1710,165,0,0,0,0,0,7245,1283,1477,3105,0,2840,228,6,2016,5738,816,0,0,0,5934,1010,369,0,2319,1967,425,0,1690,0,0,0,0,2783,274,0,4,0,1128,2773,511,0,0,0,1481,1725,79857
37,0,0,0,0,975,0,0,1149,0,2,0,0,0,534,0,0,0,0,1241,0,0,1493,0,0,0,0,0,0,0,0,0,698,0,218,887,0,1394,1634,0,0,0,0,0,470,0,0,0,0,1687,0,0,691,0,0,0,1912,0,1595,0,1406,1429,1722,4250,288,65,0,1219,0,0,0,0,0,1271,0,0,0,1,1546,135,0,4849,0,1240,0,1512,967,186,1393,0,964,0,0,2034,787,2132,782,0,0,1226,0,1483,0,199,1393,1714,164,0,0,0,0,0,7366,1314,1523,2966,0,2877,245,5,1952,5918,865,0,0,0,6059,1031,336,0,2126,2045,448,0,1648,0,0,0,0,2880,282,0,4,0,1196,2799,545,0,0,0,1557,1590,78616
38,0,0,0,0,1010,0,0,1183,0,2,0,0,0,548,0,0,0,0,1234,0,0,1525,0,0,0,0,0,0,0,0,0,710,0,219,900,0,1401,1652,0,0,0,0,0,485,0,0,0,0,1690,0,0,721,0,0,0,1966,0,1644,0,1403,1456,1745,4343,296,66,0,1267,0,0,0,0,0,1304,0,0,0,2,1583,131,0,4963,0,1255,0,1560,1006,189,1373,0,987,0,0,2092,826,2186,795,0,0,1219,0,1530,0,209,1369,1736,170,0,0,0,0,0,7469,1353,1575,2871,0,2976,249,4,1893,6064,887,0,0,0,6188,1062,302,0,1946,2128,460,0,1575,0,0,0,0,2923,297,0,4,0,1248,2831,563,1,0,0,1626,1446,77373
39,0,0,0,0,1028,0,0,1242,0,1,0,0,0,549,0,0,0,0,1215,0,0,1542,0,0,0,0,0,0,0,0,0,703,0,227,957,0,1406,1706,0,0,0,0,0,453,0,0,0,0,1693,0,0,745,0,0,0,1991,0,1671,0,1406,1484,1781,4441,303,68,0,1287,0,0,0,0,0,1347,0,0,0,2,1614,133,0,5029,0,1255,0,1610,1041,198,1327,0,1009,0,0,2085,853,2226,803,0,0,1210,0,1549,0,224,1356,1700,168,0,0,0,0,0,7535,1416,1617,2723,0,3033,252,3,1857,6182,897,0,0,0,6288,1076,272,0,1744,2182,474,0,1494,0,0,0,0,2974,306,0,9,0,1276,2922,559,2,0,0,1707,1314,76079
40,0,0,0,0,1032,0,0,1287,0,1,0,0,0,553,0,0,0,0,1240,0,0,1586,0,0,0,0,0,0,0,0,0,709,0,235,968,0,1396,1728,0,0,0,0,0,467,0,0,0,0,1658,0,0,763,0,0,0,2005,0,1667,0,1368,1478,1794,4511,304,73,0,1312,0,0,0,0,0,1385,0,0,0,2,1639,131,0,5028,0,1281,0,1631,1072,204,1318,0,1009,0,0,2136,876,2230,826,0,0,1201,0,1575,0,229,1329,1702,165,0,0,0,0,0,7537,1457,1644,2625,0,3110,250,4,1780,6304,907,0,0,0,6314,1111,232,0,1592,2186,495,0,1403,0,0,0,0,2986,312,0,11,0,1326,2898,548,2,0,0,1719,1207,75006
41,0,0,0,0,1029,0,0,1284,0,1,0,0,0,539,0,0,0,0,1251,0,0,1583,0,0,0,0,0,0,0,0,0,712,0,255,987,0,1375,1776,0,0,0,0,0,465,0,0,0,0,1641,0,0,781,0,0,0,2034,0,1670,0,1337,1484,1802,4580,315,75,0,1338,0,0,0,0,0,1402,0,0,0,2,1654,137,0,5012,0,1268,0,1661,1098,209,1301,0,1020,0,0,2115,906,2246,818,0,0,1161,0,1562,0,238,1285,1651,163,0,0,0,0,0,7597,1463,1700,2516,0,3150,258,4,1728,6310,908,0,0,0,6299,1116,201,0,1483,2199,516,0,1306,0,0,0,0,3014,318,0,14,0,1346,2879,556,2,0,0,1781,1102,73530
42,0,0,0,0,1025,0,0,1290,0,1,0,0,0,539,0,0,0,0,1236,0,0,1614,0,0,0,0,0,0,0,0,0,705,0,252,1001,0,1324,1759,0,0,0,0,0,467,0,0,0,0,1595,0,0,787,0,0,0,2058,0,1678,0,1294,1465,1794,4611,314,74,0,1332,0,0,0,0,0,1391,0,0,0,4,1651,138,0,4954,0,1273,0,1687,1097,212,1229,0,995,0,0,2137,928,2271,793,0,0,1139,0,1544,0,237,1221,1631,154,0,0,0,0,0,7514,1438,1735,2376,0,3159,254,5,1643,6314,926,0,0,0,6311,1122,186,0,1332,2203,503,0,1222,0,0,0,0,3020,322,0,15,0,1376,2882,547,2,0,0,1835,988,71927
43,0,0,0,0,1014,0,0,1311,0,1,0,0,0,511,0,0,0,0,1187,0,0,1608,0,0,0,0,0,0,0,0,0,698,0,256,1005,0,1318,1746,0,0,0,0,0,465,0,0,0,0,1580,0,0,798,0,0,0,2070,0,1692,0,1254,1425,1805,4562,297,75,0,1338,0,0,0,0,0,1380,0,0,0,4,1701,133,0,4870,0,1238,0,1679,1080,216,1205,0,977,0,0,2117,946,2266,780,0,0,1114,0,1565,0,238,1181,1609,151,0,0,0,0,0,7411,1450,1732,2255,0,3151,251,7,1601,6344,920,0,0,0,6283,1076,160,0,1215,2195,532,0,1160,0,0,0,0,3030,323,0,16,0,1402,2838,525,2,0,0,1874,891,70504
44,0,0,0,0,1030,0,0,1300,0,1,0,0,0,513,0,0,0,0,1194,0,0,1584,0,0,0,0,0,0,0,0,0,702,0,259,1005,0,1309,1749,0,0,0,0,0,462,0,0,0,0,1577,0,0,809,0,0,0,2069,0,1697,0,1214,1391,1780,4507,285,74,0,1290,0,0,0,0,0,1334,0,0,0,4,1722,126,0,4828,0,1215,0,1696,1067,222,1187,0,960,0,0,2119,951,2251,789,0,0,1108,0,1559,0,234,1151,1588,154,0,0,0,0,0,7303,1434,1740,2129,0,3149,236,10,1550,6279,884,0,0,0,6202,1059,138,0,1098,2179,541,0,1098,0,0,0,0,2970,326,0,21,0,1397,2816,502,2,0,0,1844,801,68979
45,0,0,0,0,1025,0,0,1288,0,0,0,0,0,481,0,0,0,0,1134,0,0,1568,0,0,0,0,0,0,0,0,0,672,0,273,1004,0,1315,1743,0,0,0,0,0,466,0,0,0,0,1551,0,0,803,0,0,0,2047,0,1692,0,1200,1384,1767,4505,282,68,0,1285,0,0,0,0,0,1326,0,0,0,4,1703,121,0,4742,0,1197,0,1678,1060,223,1159,0,947,0,0,2133,928,2238,808,0,0,1076,0,1558,0,236,1132,1578,147,0,0,0,0,0,7121,1408,1718,2027,0,3142,225,11,1498,6233,870,0,0,0,6058,1039,131,0,986,2148,545,0,1009,0,0,0,0,2963,313,0,24,0,1394,2799,501,2,0,0,1844,728,67365
46,0,0,0,0,1021,0,0,1261,0,0,0,0,0,468,0,0,0,0,1120,0,0,1571,0,0,0,0,0,0,0,0,0,664,0,283,1002,0,1270,1701,0,0,0,0,0,461,0,0,0,0,1521,0,0,812,0,0,0,2056,0,1652,0,1187,1367,1740,4488,281,73,0,1269,0,0,0,0,0,1348,0,0,0,3,1714,115,0,4620,0,1175,0,1669,1060,217,1170,0,912,0,0,2111,914,2215,817,0,0,1069,0,1559,0,236,1111,1563,151,0,0,0,0,0,7047,1395,1664,1923,0,3124,223,12,1450,6138,862,0,0,0,6019,1026,116,0,891,2139,534,0,962,0,0,0,0,2945,308,0,26,0,1386,2721,506,3,0,0,1856,668,65770
47,0,0,0,0,1003,0,0,1229,0,0,0,0,0,454,0,0,0,0,1117,0,0,1565,0,0,0,0,0,0,0,0,0,660,0,279,994,0,1264,1680,0,0,0,0,0,465,0,0,0,0,1507,0,0,815,0,0,0,2015,0,1616,0,1158,1351,1694,4396,282,74,0,1237,0,0,0,0,0,1335,0,0,0,3,1677,103,0,4460,0,1158,0,1626,1053,224,1139,0,909,0,0,2114,919,2177,803,0,0,1050,0,1542,0,229,1116,1556,140,0,0,0,0,0,6907,1389,1639,1841,0,3047,213,13,1403,5945,849,0,0,0,5876,1018,107,0,804,2100,526,0,913,0,0,0,0,2942,321,0,26,0,1384,2659,483,3,0,0,1840,621,64033
48,0,0,0,0,982,0,0,1198,0,0,0,0,0,441,0,0,0,0,1117,0,0,1541,0,0,0,0,0,0,0,0,0,648,0,279,1012,0,1211,1657,0,0,0,0,0,466,0,0,0,0,1453,0,0,806,0,0,0,1964,0,1616,0,1123,1340,1637,4314,278,65,0,1218,0,0,0,0,0,1293,0,0,0,3,1664,110,0,4300,0,1132,0,1619,1016,215,1137,0,882,0,0,2063,872,2107,773,0,0,1049,0,1503,0,220,1100,1534,141,0,0,0,0,0,6720,1375,1577,1760,0,2969,217,10,1338,5852,846,0,0,0,5771,998,92,0,749,2054,524,0,868,0,0,0,0,2869,324,0,27,0,1349,2604,484,3,0,0,1842,557,62158
49,0,0,0,0,972,0,0,1152,0,0,0,0,0,409,0,0,0,0,1110,0,0,1504,0,0,0,0,0,0,0,0,0,649,0,262,995,0,1152,1614,0,0,0,0,0,467,0,0,0,0,1441,0,0,802,0,0,0,1927,0,1576,0,1120,1321,1591,4217,283,62,0,1170,0,0,0,0,0,1240,0,0,0,4,1623,105,0,4152,0,1117,0,1603,980,214,1093,0,844,0,0,1997,858,2039,743,0,0,1030,0,1477,0,206,1109,1493,150,0,0,0,0,0,6503,1313,1521,1702,0,2899,211,10,1264,5685,841,0,0,0,5645,958,91,0,706,1988,518,0,799,0,0,0,0,2844,313,0,27,0,1304,2549,467,3,0,0,1782,517,60246
50,0,0,0,0,983,0,0,1104,0,0,0,0,0,389,0,0,0,0,1073,0,0,1497,0,0,0,0,0,0,0,0,0,635,0,247,975,0,1098,1580,0,0,0,0,0,450,0,0,0,0,1405,0,0,774,0,0,0,1869,0,1565,0,1102,1322,1564,4075,287,61,0,1139,0,0,0,0,0,1198,0,0,0,3,1583,102,0,3980,0,1098,0,1541,947,209,1081,0,813,0,0,1942,821,1980,729,0,0,1053,0,1415,0,191,1099,1484,142,0,0,0,0,0,6281,1263,1436,1632,0,2809,194,8,1212,5571,826,0,0,0,5499,922,83,0,645,1926,498,0,740,0,0,0,0,2797,310,0,24,0,1289,2500,459,3,0,0,1726,477,58471
51,0,0,0,0,972,0,0,1059,0,0,0,0,0,365,0,0,0,0,1046,0,0,1454,0,0,0,0,0,0,0,0,0,632,0,228,962,0,1055,1530,0,0,0,0,0,426,0,0,0,0,1409,0,0,745,0,0,0,1799,0,1535,0,1104,1296,1509,3931,276,64,0,1101,0,0,0,0,0,1134,0,0,0,1,1543,97,0,3860,0,1060,0,1484,911,196,1055,0,790,0,0,1924,814,1876,682,0,0,1029,0,1380,0,181,1117,1445,143,0,0,0,0,0,6048,1203,1382,1600,0,2752,192,10,1196,5418,813,0,0,0,5381,879,79,0,583,1881,481,0,710,0,0,0,0,2726,305,0,22,0,1278,2412,432,3,0,0,1659,447,56397
52,0,0,0,0,960,0,0,1009,0,0,0,0,0,352,0,0,0,0,1009,0,0,1394,0,0,0,0,0,0,0,0,0,651,0,224,927,0,1036,1486,0,0,0,0,0,418,0,0,0,0,1370,0,0,732,0,0,0,1751,0,1526,0,1089,1268,1446,3820,273,65,0,1065,0,0,0,0,0,1113,0,0,0,1,1494,98,0,3694,0,1022,0,1448,873,188,1055,0,757,0,0,1843,798,1790,663,0,0,1041,0,1312,0,176,1147,1419,149,0,0,0,0,0,5846,1189,1312,1523,0,2671,184,13,1135,5238,784,0,0,0,5194,837,80,0,527,1833,466,0,662,0,0,0,0,2694,295,0,20,0,1252,2328,425,3,0,0,1587,417,54157
53,0,0,0,0,961,0,0,968,0,0,0,0,0,344,0,0,0,0,969,0,0,1362,0,0,0,0,0,0,0,0,0,643,0,208,914,0,1002,1434,0,0,0,0,0,412,0,0,0,0,1343,0,0,695,0,0,0,1669,0,1500,0,1070,1231,1388,3708,273,70,0,1007,0,0,0,0,0,1088,0,0,0,1,1458,101,0,3487,0,1007,0,1381,851,180,1028,0,734,0,0,1793,771,1686,654,0,0,1017,0,1271,0,170,1120,1383,150,0,0,0,0,0,5591,1120,1251,1498,0,2619,167,14,1081,5038,763,0,0,0,4954,806,79,0,478,1772,450,0,639,0,0,0,0,2639,282,0,20,0,1221,2248,428,3,0,0,1498,383,51964
54,0,0,0,0,955,0,0,933,0,0,0,0,0,330,0,0,0,0,936,0,0,1332,0,0,0,0,0,0,0,0,0,635,0,193,884,0,964,1378,0,0,0,0,0,393,0,0,0,0,1321,0,0,664,0,0,0,1606,0,1472,0,1091,1205,1330,3572,252,71,0,983,0,0,0,0,0,1038,0,0,0,1,1400,94,0,3310,0,983,0,1323,809,161,1002,0,725,0,0,1697,738,1630,626,0,0,1028,0,1217,0,160,1115,1339,146,0,0,0,0,0,5281,1061,1235,1411,0,2498,170,12,1047,4798,738,0,0,0,4821,773,77,0,444,1721,424,0,597,0,0,0,0,2599,270,0,21,0,1186,2150,422,3,0,0,1423,341,49826
55,0,0,0,0,948,0,0,876,0,0,0,0,0,305,0,0,0,0,888,0,0,1273,0,0,0,0,0,0,0,0,0,636,0,178,838,0,915,1352,0,0,0,0,0,375,0,0,0,0,1285,0,0,652,0,0,0,1559,0,1414,0,1071,1178,1286,3409,246,68,0,953,0,0,0,0,0,998,0,0,0,1,1354,90,0,3147,0,976,0,1281,779,150,984,0,713,0,0,1654,721,1562,596,0,0,1018,0,1175,0,154,1130,1331,146,0,0,0,0,0,4999,1017,1194,1382,0,2385,162,12,998,4573,705,0,0,0,4617,739,72,0,420,1658,406,0,568,0,0,0,0,2511,262,0,19,0,1132,2051,405,2,0,0,1383,308,47586
56,0,0,0,0,934,0,0,806,0,0,0,0,0,273,0,0,0,0,836,0,0,1210,0,0,0,0,0,0,0,0,0,628,0,169,797,0,893,1296,0,0,0,0,0,367,0,0,0,0,1253,0,0,637,0,0,0,1484,0,1352,0,1044,1140,1222,3254,231,66,0,904,0,0,0,0,0,934,0,0,0,1,1282,84,0,2981,0,945,0,1237,752,129,966,0,689,0,0,1586,693,1505,562,0,0,1004,0,1143,0,146,1094,1289,129,0,0,0,0,0,4805,952,1127,1313,0,2294,157,13,946,4363,687,0,0,0,4387,713,69,0,380,1608,385,0,548,0,0,0,0,2474,263,0,19,0,1058,1962,404,1,0,0,1328,289,45399
57,0,0,0,0,896,0,0,777,0,0,0,0,0,253,0,0,0,0,827,0,0,1152,0,0,0,0,0,0,0,0,0,606,0,166,768,0,834,1231,0,0,0,0,0,347,0,0,0,0,1208,0,0,606,0,0,0,1406,0,1283,0,1020,1113,1179,3113,221,63,0,848,0,0,0,0,0,879,0,0,0,1,1199,83,0,2849,0,913,0,1195,728,117,917,0,660,0,0,1500,648,1420,527,0,0,971,0,1092,0,134,1066,1255,122,0,0,0,0,0,4514,903,1073,1258,0,2172,148,12,887,4193,657,0,0,0,4164,697,68,0,363,1555,369,0,526,0,0,0,0,2388,259,0,14,0,1014,1864,398,1,0,0,1277,266,43114
58,0,0,0,0,861,0,0,746,0,0,0,0,0,238,0,0,0,0,795,0,0,1103,0,0,0,0,0,0,0,0,0,586,0,155,737,0,820,1185,0,0,0,0,0,333,0,0,0,0,1188,0,0,583,0,0,0,1338,0,1234,0,1001,1084,1131,2956,216,61,0,786,0,0,0,0,0,841,0,0,0,1,1121,76,0,2690,0,890,0,1136,697,105,864,0,634,0,0,1461,615,1336,502,0,0,934,0,1057,0,126,1012,1220,117,0,0,0,0,0,4266,856,1033,1201,0,2095,139,11,833,3965,623,0,0,0,3942,686,67,0,341,1505,359,0,495,0,0,0,0,2289,244,0,13,0,953,1745,396,1,0,0,1240,243,41083
59,0,0,0,0,832,0,0,712,0,0,0,0,0,210,0,0,0,0,791,0,0,1029,0,0,0,0,0,0,0,0,0,554,0,138,700,0,753,1120,0,0,0,0,0,313,0,0,0,0,1150,0,0,550,0,0,0,1294,0,1171,0,954,1040,1113,2830,212,64,0,728,0,0,0,0,0,810,0,0,0,0,1055,71,0,2558,0,850,0,1069,668,98,837,0,613,0,0,1374,574,1264,473,0,0,889,0,1012,0,115,977,1170,105,0,0,0,0,0,4020,801,958,1134,0,1960,135,10,780,3778,614,0,0,0,3770,675,63,0,307,1446,342,0,466,0,0,0,0,2175,237,0,13,0,885,1667,370,0,0,0,1205,234,38885
60,0,0,0,0,783,0,0,695,0,0,0,0,0,190,0,0,0,0,755,0,0,967,0,0,0,0,0,0,0,0,0,540,0,141,663,0,711,1082,0,0,0,0,0,294,0,0,0,0,1119,0,0,521,0,0,0,1223,0,1099,0,923,1018,1053,2731,203,63,0,675,0,0,0,0,0,778,0,0,0,0,980,71,0,2435,0,809,0,1040,627,87,807,0,572,0,0,1278,535,1206,458,0,0,867,0,979,0,116,925,1121,95,0,0,0,0,0,3717,753,921,1081,0,1861,125,10,745,3552,568,0,0,0,3582,637,59,0,279,1364,335,0,449,0,0,0,0,2124,230,0,11,0,848,1553,354,0,0,0,1157,219,36892
61,0,0,0,0,767,0,0,650,0,0,0,0,0,173,0,0,0,0,754,0,0,910,0,0,0,0,0,0,0,0,0,496,0,135,617,0,677,1034,0,0,0,0,0,272,0,0,0,0,1082,0,0,495,0,0,0,1178,0,1026,0,891,953,1011,2582,191,57,0,632,0,0,0,0,0,738,0,0,0,0,909,67,0,2301,0,780,0,975,608,75,783,0,544,0,0,1199,504,1150,431,0,0,833,0,934,0,110,876,1080,86,0,0,0,0,0,3483,706,867,1023,0,1748,124,10,715,3330,539,0,0,0,3343,600,52,0,271,1300,316,0,418,0,0,0,0,2048,226,0,8,0,820,1479,338,0,0,0,1094,207,34961
62,0,0,0,0,737,0,0,626,0,0,0,0,0,163,0,0,0,0,714,0,0,854,0,0,0,0,0,0,0,0,0,483,0,132,594,0,651,987,0,0,0,0,0,277,0,0,0,0,1048,0,0,467,0,0,0,1116,0,972,0,845,952,989,2484,173,53,0,587,0,0,0,0,0,711,0,0,0,0,856,65,0,2155,0,737,0,927,575,66,758,0,500,0,0,1160,478,1081,413,0,0,776,0,882,0,108,838,1037,82,0,0,0,0,0,3268,672,830,977,0,1623,128,9,678,3111,475,0,0,0,3150,595,48,0,247,1219,298,0,396,0,0,0,0,1942,218,0,7,0,765,1396,312,0,0,0,1047,192,33244
63,0,0,0,0,719,0,0,600,0,0,0,0,0,157,0,0,0,0,676,0,0,828,0,0,0,0,0,0,0,0,0,454,0,129,559,0,618,913,0,0,0,0,0,264,0,0,0,0,991,0,0,441,0,0,0,1050,0,887,0,809,918,929,2354,174,52,0,545,0,0,0,0,0,679,0,0,0,0,818,64,0,2019,0,702,0,885,522,70,732,0,468,0,0,1098,425,988,400,0,0,742,0,833,0,104,788,991,76,0,0,0,0,0,3015,639,782,930,0,1539,123,9,643,2907,455,0,0,0,2969,573,41,0,238,1162,269,0,376,0,0,0,0,1879,207,0,7,0,734,1286,289,0,0,0,997,176,31310
64,0,0,0,0,686,0,0,573,0,0,0,0,0,157,0,0,0,0,647,0,0,764,0,0,0,0,0,0,0,0,0,441,0,126,539,0,575,879,0,0,0,0,0,262,0,0,0,0,957,0,0,422,0,0,0,1010,0,811,0,754,873,868,2220,161,47,0,482,0,0,0,0,0,629,0,0,0,0,761,63,0,1856,0,682,0,858,489,68,720,0,441,0,0,1038,400,934,368,0,0,705,0,806,0,101,770,937,71,0,0,0,0,0,2816,603,749,875,0,1422,131,7,602,2707,433,0,0,0,2803,553,37,0,231,1119,264,0,344,0,0,0,0,1793,189,0,6,0,699,1209,262,0,0,0,952,168,29623
65,0,0,0,0,662,0,0,564,0,0,0,0,0,148,0,0,0,0,620,0,0,707,0,0,0,0,0,0,0,0,0,419,0,119,509,0,540,825,0,0,0,0,0,235,0,0,0,0,922,0,0,395,0,0,0,964,0,754,0,719,850,819,2096,149,46,0,472,0,0,0,0,0,605,0,0,0,0,730,60,0,1742,0,631,0,784,462,68,686,0,408,0,0,981,386,872,353,0,0,657,0,775,0,103,724,896,73,0,0,0,0,0,2591,567,696,823,0,1337,123,4,572,2546,401,0,0,0,2647,497,37,0,207,1070,251,0,322,0,0,0,0,1684,181,0,5,0,670,1140,244,0,0,0,909,162,27973
66,0,0,0,0,635,0,0,543,0,0,0,0,0,138,0,0,0,0,605,0,0,662,0,0,0,0,0,0,0,0,0,417,0,119,474,0,513,754,0,0,0,0,0,221,0,0,0,0,868,0,0,369,0,0,0,914,0,682,0,686,826,768,1984,135,39,0,434,0,0,0,0,0,574,0,0,0,0,698,62,0,1581,0,602,0,759,433,66,645,0,395,0,0,935,359,821,324,0,0,642,0,724,0,91,694,851,69,0,0,0,0,0,2434,524,650,773,0,1248,117,3,537,2389,374,0,0,0,2499,482,34,0,185,998,228,0,300,0,0,0,0,1575,167,0,4,0,621,1055,222,0,0,0,856,153,26371
67,0,0,0,0,609,0,0,513,0,0,0,0,0,140,0,0,0,0,574,0,0,604,0,0,0,0,0,0,0,0,0,380,0,115,444,0,492,704,0,0,0,0,0,209,0,0,0,0,820,0,0,352,0,0,0,871,0,621,0,646,785,713,1894,130,39,0,386,0,0,0,0,0,553,0,0,0,0,665,58,0,1490,0,565,0,708,403,65,600,0,374,0,0,865,342,762,314,0,0,616,0,676,0,83,663,807,62,0,0,0,0,0,2255,495,597,727,0,1154,116,1,512,2225,352,0,0,0,2332,459,33,0,178,967,203,0,278,0,0,0,0,1465,152,0,3,0,576,963,212,0,0,0,824,136,24896
68,0,0,0,0,588,0,0,481,0,0,0,0,0,132,0,0,0,0,565,0,0,547,0,0,0,0,0,0,0,0,0,362,0,106,416,0,457,676,0,0,0,0,0,194,0,0,0,0,776,0,0,327,0,0,0,817,0,554,0,611,754,679,1766,120,35,0,368,0,0,0,0,0,531,0,0,0,0,620,61,0,1414,0,527,0,650,382,69,574,0,350,0,0,815,335,694,297,0,0,593,0,642,0,71,632,759,58,0,0,0,0,0,2078,450,569,665,0,1054,112,0,470,2080,314,0,0,0,2198,421,32,0,161,900,189,0,267,0,0,0,0,1380,144,0,2,0,549,910,202,0,0,0,775,134,23442
69,0,0,0,0,549,0,0,452,0,0,0,0,0,122,0,0,0,0,550,0,0,487,0,0,0,0,0,0,0,0,0,351,0,96,388,0,436,638,0,0,0,0,0,174,0,0,0,0,736,0,0,309,0,0,0,747,0,515,0,567,701,624,1627,112,34,0,345,0,0,0,0,0,489,0,0,0,1,574,60,0,1314,0,488,0,616,351,68,550,0,322,0,0,757,322,645,271,0,0,549,0,602,0,67,578,705,54,0,0,0,0,0,1936,434,545,626,0,956,109,0,434,1928,285,0,0,0,2063,396,31,0,150,832,173,0,248,0,0,0,0,1285,141,0,1,0,535,864,196,0,0,0,736,128,21998
70,0,0,0,0,545,0,0,418,0,0,0,0,0,119,0,0,0,0,528,0,0,446,0,0,0,0,0,0,0,0,0,335,0,89,367,0,408,588,0,0,0,0,0,163,0,0,0,0,705,0,0,286,0,0,0,712,0,465,0,544,668,596,1501,108,27,0,321,0,0,0,0,0,457,0,0,0,1,526,58,0,1216,0,466,0,573,321,66,527,0,290,0,0,703,313,584,257,0,0,515,0,553,0,61,539,638,47,0,0,0,0,0,1781,398,493,583,0,871,105,0,391,1794,257,0,0,0,1952,362,27,0,144,770,163,0,231,0,0,0,0,1191,133,0,0,0,497,798,179,0,0,0,686,122,20507
71,0,0,0,0,497,0,0,388,0,0,0,0,0,108,0,0,0,0,505,0,0,422,0,0,0,0,0,0,0,0,0,323,0,79,334,0,386,548,0,0,0,0,0,150,0,0,0,0,652,0,0,257,0,0,0,664,0,450,0,506,638,553,1392,102,24,0,304,0,0,0,0,0,414,0,0,0,1,495,55,0,1104,0,422,0,520,289,63,501,0,266,0,0,645,290,561,242,0,0,491,0,524,0,62,508,603,43,0,0,0,0,0,1686,375,452,555,0,792,109,0,358,1693,229,0,0,0,1863,334,22,0,140,712,155,0,216,0,0,0,0,1122,131,0,0,0,446,746,171,0,0,0,629,122,19166
