#time,x,y,location_type
-19,73.21052238271501,34.143615360716026,house
-18,73.2700416372001,34.188902995080646,house
-17,73.26798587594799,34.16057385516787,house
-16,73.25835051223132,34.16818689131091,house
-15,73.26782368601201,34.18645126342285,house
-14,73.2124342786299,34.17610673862,house
-13,73.25047942759826,34.212605540431326,house
-12,73.21272369132548,34.180339989956444,house
-11,73.2157715103649,34.14010325871824,house
-10,73.23819901131957,34.15548730387992,house
-14,73.22835681672579,34.14739187341143,traffic
-12,73.22556691553018,34.193691421350664,shopping
-12,73.25373958859409,34.192051768128785,supermarket
-11,73.26782368601201,34.18645126342285,house
-9,73.27435286097788,34.177054856565235,traffic
-9,73.25373958859409,34.192051768128785,house
-8,73.20578248805094,34.15197054452621,traffic
-8,73.23641542371193,34.156264799638066,school
