#time,x,y,location_type
-19,73.26043124982623,34.15978225490545,house
-18,73.27298772789919,34.17675695506148,house
-17,73.20052688427552,34.13626404476516,house
-16,73.24353082129859,34.16424953649612,house
-15,73.25807844344546,34.194354105019336,house
-14,73.24476388412957,34.16177598557845,house
-13,73.23134087460316,34.15426116304094,house
-12,73.25049745759405,34.16867198916966,house
-11,73.21950776978652,34.176908123728516,house
-10,73.24222914555195,34.208694735407285,house
-14,73.25807844344546,34.194354105019336,house
-13,73.25807844344546,34.194354105019336,house
-9,73.24353082129859,34.16424953649612,house
-8,73.25807844344546,34.194354105019336,house
-6,73.24041603236844,34.16430749700805,traffic
-6,73.25807844344546,34.194354105019336,house
-2,73.23981696256675,34.16786980690196,traffic
-1,73.22457995242226,34.20296912896937,supermarket
0,73.2324783032449,34.21511413140717,traffic
1,73.24701143639098,34.17217266503951,traffic
2,73.22397064997328,34.140556834597014,traffic
3,73.24220285379327,34.215611555997526,traffic
4,73.26039900086681,34.15509214167061,school
5,73.24041603236844,34.16430749700805,house
5,73.24220285379327,34.215611555997526,house
6,73.26892947755698,34.167916957601115,traffic
7,73.27467997741167,34.17709951107185,traffic
7,73.2324783032449,34.21511413140717,house
8,73.2324783032449,34.21511413140717,house
9,73.20320405070672,34.163437027397926,traffic
9,73.23828802020773,34.15450587478611,traffic
9,73.23129601074038,34.18685400579171,school
10,73.20320405070672,34.163437027397926,house
10,73.20320405070672,34.163437027397926,house
10,73.2324783032449,34.21511413140717,house
10,73.2324783032449,34.21511413140717,house
10,73.24220285379327,34.215611555997526,house
11,73.24220285379327,34.215611555997526,house
12,73.20320405070672,34.163437027397926,house
12,73.20320405070672,34.163437027397926,house
12,73.26892947755698,34.167916957601115,house
12,73.26892947755698,34.167916957601115,house
12,73.24220285379327,34.215611555997526,house
12,73.23129601074038,34.18685400579171,house
13,73.20320405070672,34.163437027397926,house
13,73.26892947755698,34.167916957601115,house
14,73.21786277262518,34.160495016865184,traffic
14,73.26892947755698,34.167916957601115,house
14,73.26892947755698,34.167916957601115,house
15,73.26892947755698,34.167916957601115,house
16,73.26892947755698,34.167916957601115,house
16,73.26892947755698,34.167916957601115,house
17,73.21786277262518,34.160495016865184,house
17,73.21786277262518,34.160495016865184,house
18,73.21786277262518,34.160495016865184,house
18,73.21786277262518,34.160495016865184,house
18,73.2324783032449,34.21511413140717,house
19,73.23225628743896,34.15854637650498,traffic
19,73.24815621599423,34.169789641633876,place_of_worship
19,73.21786277262518,34.160495016865184,house
20,73.21786277262518,34.160495016865184,house
20,73.21786277262518,34.160495016865184,house
20,73.24815621599423,34.169789641633876,house
21,73.21786277262518,34.160495016865184,house
21,73.21786277262518,34.160495016865184,house
21,73.26892947755698,34.167916957601115,house
22,73.21786277262518,34.160495016865184,house
22,73.21786277262518,34.160495016865184,house
23,73.21786277262518,34.160495016865184,house
23,73.23225628743896,34.15854637650498,house
23,73.26892947755698,34.167916957601115,house
24,73.21786277262518,34.160495016865184,house
25,73.26886515759143,34.20111709720818,traffic
26,73.23225628743896,34.15854637650498,house
26,73.26886515759143,34.20111709720818,house
27,73.21610362128825,34.17394627999886,traffic
29,73.26892947755698,34.167916957601115,house
