#time,x,y,location_type
-19,73.20601865801498,34.153602865912845,house
-19,73.2280351554664,34.1438495838738,house
-19,73.20641765102403,34.137419811545094,house
-19,73.25536764540004,34.168733620016944,house
-19,73.24708818240376,34.174353448734806,house
-19,73.25531043083875,34.19830215422817,house
-19,73.25647742122224,34.16832661620859,house
-19,73.23795892560625,34.19350804580616,house
-19,73.24209243539202,34.22004810637405,house
-19,73.22465448821157,34.17431313062922,house
-19,73.23530548936702,34.164688692569015,house
-19,73.23164604990401,34.15206641020152,house
-19,73.2475580342374,34.17008516297232,house
-19,73.25955035095676,34.15974187782931,house
-19,73.26875464512703,34.171920764974764,house
-19,73.25815204341039,34.18275547926536,house
-19,73.24163915186143,34.154403138524536,house
-19,73.22611929032422,34.14650401228222,house
-19,73.27293970040618,34.17967023610812,house
-19,73.23850246115998,34.186302248812005,house
-19,73.20420806143163,34.167045188227966,house
-19,73.22812677914123,34.200284878599675,house
-19,73.22409049440148,34.16871896752305,house
-19,73.24223702767816,34.22012793458294,house
-19,73.23853342213745,34.197143625991615,house
-19,73.23134904489164,34.215207121766056,house
-19,73.23562825514007,34.15740072470203,house
-19,73.21801741086496,34.18111231707313,house
-19,73.22614065350412,34.17987099032742,house
-19,73.22940269677858,34.17059535154423,house
-19,73.24924453523097,34.158160471432225,house
-19,73.22640855822777,34.17948788273975,house
-19,73.24222914555195,34.208694735407285,house
-19,73.19899427186127,34.12608871843751,house
-19,73.23732033674841,34.17210452395289,house
-19,73.22363409957616,34.201432892942016,house
-19,73.19783521351856,34.12688369648669,house
-19,73.22031246872807,34.18267121868261,house
-19,73.21313201253449,34.13626217121664,house
-19,73.24145006791302,34.16904160137281,house
-19,73.21578004295183,34.13983276576959,house
-19,73.20152291030176,34.128493411427286,house
-19,73.21578604570195,34.17848888914971,house
-19,73.27101225688378,34.180320153113016,house
-19,73.22947679572849,34.208844240274814,house
-19,73.23652766736383,34.16735282876549,house
-19,73.21438310506116,34.1765613864958,house
-19,73.23313544587059,34.215462496571604,house
-19,73.22875759767253,34.1750601692188,house
-19,73.22340800901227,34.170446380958374,house
-18,73.20193534489194,34.13227435106855,house
-18,73.22711251262145,34.17749758080086,house
-18,73.24424074224396,34.19274304326946,house
-18,73.24539944920208,34.16755387108291,house
-18,73.2349344269904,34.19356935449661,house
-18,73.23474350198444,34.197681183752124,house
-18,73.22710747094908,34.17072912779592,house
-18,73.22393757757905,34.18496159949666,house
-18,73.20959469982787,34.17447684404603,house
-18,73.22064875787,34.18490719456729,house
-18,73.23630635871716,34.1926951682208,house
-18,73.21835311093307,34.18235536541328,house
-18,73.20428049301225,34.14859011517412,house
-18,73.23189201296745,34.191420170005365,house
-18,73.24330448733078,34.17444580457209,house
-18,73.21644123663049,34.182502986261326,house
-18,73.20067832726593,34.153709170191696,house
-18,73.23302734851245,34.159896800967324,house
-18,73.23724362678168,34.187297077382944,house
-18,73.27005368984877,34.18779494838608,house
-18,73.19788527499618,34.13944236231415,house
-18,73.23214343058879,34.21558061649697,house
-18,73.22947655992077,34.20163325031738,house
-18,73.2603566781608,34.19743776868474,house
-18,73.23152778211738,34.186621054809976,house
-18,73.21175302531624,34.14347162564697,house
-18,73.23141016782205,34.196733072215125,house
-18,73.24772740395484,34.173889100700016,house
-18,73.27423131721079,34.20494995003073,house
-18,73.22763910010977,34.16454213504348,house
-18,73.24973831792728,34.203549258871234,house
-18,73.23230350819148,34.162799323054394,house
-18,73.2628033679982,34.18297987212516,house
-18,73.24504955800323,34.210388272272894,house
-18,73.20910123939382,34.1732876939153,house
-18,73.22007644521881,34.18160337028952,house
-18,73.26358097613145,34.182810567374055,house
-18,73.2557571568294,34.15287610092605,house
-18,73.2605248526913,34.175840919498675,house
-18,73.25548056074099,34.20555848768928,house
-18,73.20312209060651,34.15311414345546,house
-18,73.22433749302586,34.20793587937664,house
-18,73.21556859119727,34.14334882011683,house
-18,73.24859890816788,34.16539554566482,house
-18,73.23419822749665,34.17029496522686,house
-18,73.22889816881907,34.14634633223937,house
-18,73.22534126022627,34.20847545015004,house
-18,73.24714862859355,34.161175461240646,house
-18,73.21757927246716,34.145676182495286,house
-18,73.27084728723119,34.182835323957356,house
-17,73.25169209463087,34.2054308966891,house
-17,73.2531449076715,34.202358062017666,house
-17,73.2466143554418,34.16327169304703,house
-17,73.27369673376359,34.197093982538505,house
-17,73.25921226809531,34.17389358527421,house
-17,73.25095151066905,34.163887655782574,house
-17,73.25428128703759,34.172461717443646,house
-17,73.22538884138227,34.18337230014112,house
-17,73.2499860420655,34.157575360155896,house
-17,73.22890326950338,34.19154775043866,house
-17,73.23332537362585,34.15854158587438,house
-17,73.24328570386677,34.172263952669894,house
-17,73.22875337642434,34.20236577729959,house
-17,73.2736095566693,34.19940602165266,house
-17,73.24601393426947,34.16336349511455,house
